timestamp,supplier,product_id,product_name,change_type,old_value,new_value,flag
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:swiss-cheese-plant-monstera-adansonii,Swiss Cheese Plant (Monstera adansonii),new_product,,$5.99,
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:hierodula-indonesia,Hierodula Indonesia,new_product,,$17.99,
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:congo-green-mantis-s-aurea,Congo Green Mantis (S. aurea),new_product,,$11.99,
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:zebra-mantis-o-zebrata,Zebra Mantis (O. zebrata),new_product,,$23.99,
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:dying-poison-dart-frog,"Dyeing Poison Dart Frog (Dendrobates tinctorius ""robertus"")",new_product,,$59.99,
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:copy-of-snow-queen-pothos-epipremnum-aureum,Lucky Bamboo (Dracaena sanderiana),new_product,,$3.99,
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:golden-pothos-epipremnum-aureum,Golden Pothos (Epipremnum aureum),new_product,,$4.99,
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:snow-queen-pothos-epipremnum-aureum,Snow Queen Pothos (Epipremnum aureum),new_product,,$5.99,
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:red-nerve-plant-fittonia,Red Nerve Plant (Fittonia),new_product,,$6.99,
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:cryptic-mantis,Cryptic Mantis (S. pretiosa),new_product,,$18.99,
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:grizzled-mantis,Grizzled Mantis (G. grisea),new_product,,$24.99,
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:thistle-mantis,Thistle Mantis (B. mendica),new_product,,$12.99,
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:spiny-flower-mantis,Spiny Flower Mantis (P. wahlbergii),new_product,,$24.99,
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:indian-grass-mantis,Indian Grass Mantis (S. Bicornis),new_product,,$19.99,
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:wandering-violin-mantis,Wandering Violin Mantis (G. gongylodes),new_product,,$29.99,
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:giant-asian-mantis,Giant Asian Mantis (H. membranacea),new_product,,$14.99,
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:indian-flower-mantis,Jewelled Flower Mantis (C. gemmatus),new_product,,$16.99,
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:peruvian-leaf-mantis,Peruvian Leaf Mantis (P. Perpulchra),new_product,,$19.99,
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:uniheat-72-hour-heat-packs-1,UniHeat 40-Hour Heat Packs,new_product,,$4.99,
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:uniheat-72-hour-heat-packs,UniHeat 72-Hour Heat Packs,new_product,,$7.99,
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:silk-plant-fall-foliage,Silk Plant - Fall Foliage,new_product,,$13.99,
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:giant-shield-mantis-r-megaera,Giant Shield Mantis (R. Stalli),new_product,,$21.99,
